A,100
A,200
B,500
1,1
4,16
7,49
10,100
13,169
16,256
19,361
22,484
25,625
28,784
31,961
34,1156
37,1369
40,1600
43,1849
46,2116
49,2401
52,2704
55,3025
58,3364
61,3721
64,4096
67,4489
70,4900
73,5329
76,5776
79,6241
82,6724
85,7225
88,7744
91,8281
94,8836
97,9409
100,10000
103,10609
106,11236
109,11881
112,12544
115,13225
118,13924
121,14641
124,15376
127,16129
130,16900
133,17689
136,18496
139,19321
142,20164
145,21025
148,21904
151,22801
154,23716
157,24649
160,25600
163,26569
166,27556
169,28561
172,29584
175,30625
178,31684
181,32761
184,33856
187,34969
190,36100
193,37249
196,38416
199,39601
202,40804
205,42025
208,43264
211,44521
214,45796
217,47089
220,48400
223,49729
226,51076
229,52441
232,53824
235,55225
238,56644
241,58081
244,59536
247,61009
250,62500
253,64009
256,65536
259,67081
262,68644
265,70225
268,71824
271,73441
274,75076
277,76729
280,78400
283,80089
286,81796
289,83521
292,85264
295,87025
298,88804
301,90601
304,92416
307,94249
310,96100
313,97969
316,99856
319,101761
322,103684
325,105625
328,107584
331,109561
334,111556
337,113569
340,115600
343,117649
346,119716
349,121801
352,123904
355,126025
358,128164
361,130321
364,132496
367,134689
370,136900
373,139129
376,141376
379,143641
382,145924
385,148225
388,150544
391,152881
394,155236
397,157609
400,160000
403,162409
406,164836
409,167281
412,169744
415,172225
418,174724
421,177241
424,179776
427,182329
430,184900
433,187489
436,190096
439,192721
442,195364
445,198025
448,200704
451,203401
454,206116
457,208849
460,211600
463,214369
466,217156
469,219961
472,222784
475,225625
478,228484
481,231361
484,234256
487,237169
490,240100
493,243049
496,246016
499,249001
502,252004
505,255025
508,258064
511,261121
514,264196
517,267289
520,270400
523,273529
526,276676
529,279841
532,283024
535,286225
538,289444
541,292681
544,295936
547,299209
550,302500
553,305809
556,309136
559,312481
562,315844
565,319225
568,322624
571,326041
574,329476
577,332929
580,336400
583,339889
586,343396
589,346921
592,350464
595,354025
598,357604
601,361201
604,364816
607,368449
610,372100
613,375769
616,379456
619,383161
622,386884
625,390625
628,394384
631,398161
634,401956
637,405769
640,409600
643,413449
646,417316
649,421201
652,425104
655,429025
658,432964
661,436921
664,440896
667,444889
670,448900
673,452929
676,456976
679,461041
682,465124
685,469225
688,473344
691,477481
694,481636
697,485809
700,490000
703,494209
706,498436
709,502681
712,506944
715,511225
718,515524
721,519841
724,524176
727,528529
730,532900
733,537289
736,541696
739,546121
742,550564
745,555025
748,559504
751,564001
754,568516
757,573049
760,577600
763,582169
766,586756
769,591361
772,595984
775,600625
778,605284
781,609961
784,614656
787,619369
790,624100
793,628849
796,633616
799,638401
802,643204
805,648025
808,652864
811,657721
814,662596
817,667489
820,672400
823,677329
826,682276
829,687241
832,692224
835,697225
838,702244
841,707281
844,712336
847,717409
850,722500
853,727609
856,732736
859,737881
862,743044
865,748225
868,753424
871,758641
874,763876
877,769129
880,774400
883,779689
886,784996
889,790321
892,795664
895,801025
898,806404
901,811801
904,817216
907,822649
910,828100
913,833569
916,839056
919,844561
922,850084
925,855625
928,861184
931,866761
934,872356
937,877969
940,883600
943,889249
946,894916
949,900601
952,906304
955,912025
958,917764
961,923521
964,929296
967,935089
970,940900
973,946729
976,952576
979,958441
982,964324
985,970225
988,976144
991,982081
994,988036
997,994009
1000,1000000
